pincode,area,neighborhood,latitude,longitude,occurrence_time,report_time,authority_arrival_time,hour,day_of_week,is_weekend,is_night,is_evening,is_rush_hour,reporting_delay_minutes,response_time_minutes,total_resolution_time_minutes,victim_age,signal_count_last_7d,signal_count_last_30d,signal_density_ratio,risk_level
600001,Parrys Corner,George Town,13.094139,80.277005,2025-10-22T23:20:00,2025-10-23T00:03:00,2025-10-23T00:24:00,23,2,0,1,0,0,43,21,64,24,6,48,0.122,2
600017,T. Nagar,Central Chennai,13.040961,80.234313,2025-08-23T17:34:00,2025-08-23T17:36:00,2025-08-23T17:51:00,17,5,1,0,0,1,2,15,17,72,2,34,0.057,1
600021,Kodungaiyur,North Chennai,13.135156,80.258258,2025-11-01T08:40:00,2025-11-01T08:51:00,2025-11-01T09:15:00,8,5,1,0,0,1,11,24,35,28,8,48,0.163,2
600011,Royapuram,North Chennai,13.107672,80.28931,2025-06-30T14:21:00,2025-06-30T14:38:00,2025-06-30T15:00:00,14,0,0,0,0,0,17,22,39,43,7,27,0.25,2
600023,Vyasarpadi,North Chennai,13.109667,80.248681,2025-08-14T23:08:00,2025-08-14T23:22:00,2025-08-14T23:51:00,23,3,0,1,0,0,14,29,43,53,6,51,0.115,2
600021,Kodungaiyur,North Chennai,13.132243,80.250892,2025-11-06T12:26:00,2025-11-06T12:40:00,2025-11-06T13:09:00,12,3,0,0,0,0,14,29,43,52,5,43,0.114,2
600127,Perungudi,IT Corridor,12.960596,80.243656,2025-11-20T14:20:00,2025-11-20T14:26:00,2025-11-20T14:38:00,14,3,0,0,0,0,6,12,18,44,5,25,0.192,0
600018,Kodambakkam,West Chennai,13.049423,80.225451,2025-06-08T21:25:00,2025-06-08T21:34:00,2025-06-08T21:47:00,21,6,1,0,1,0,9,13,22,28,8,15,0.5,1
600023,Vyasarpadi,North Chennai,13.109156,80.252213,2025-08-04T16:20:00,2025-08-04T16:50:00,2025-08-04T17:09:00,16,0,0,0,0,0,30,19,49,25,9,36,0.243,2
600096,OMR,IT Corridor,12.930165,80.228895,2025-07-02T01:27:00,2025-07-02T01:35:00,2025-07-02T01:42:00,1,2,0,1,0,0,8,7,15,42,3,19,0.15,1
600007,Perambur,North Chennai,13.116958,80.237389,2025-11-13T07:33:00,2025-11-13T07:55:00,2025-11-13T08:15:00,7,3,0,0,0,0,22,20,42,30,10,46,0.213,2
600001,Parrys Corner,George Town,13.086258,80.275322,2025-10-29T22:10:00,2025-10-29T22:30:00,2025-10-29T22:55:00,22,2,0,1,1,0,20,25,45,17,3,36,0.081,2
600007,Perambur,North Chennai,13.115844,80.241414,2025-07-04T21:44:00,2025-07-04T22:15:00,2025-07-04T22:31:00,21,4,0,0,1,0,31,16,47,22,7,42,0.163,2
600001,Parrys Corner,George Town,13.084883,80.278738,2025-07-26T22:46:00,2025-07-26T23:13:00,2025-07-26T23:36:00,22,5,1,1,1,0,27,23,50,24,3,39,0.075,2
600003,Park Town,Central Chennai,13.075478,80.28469,2025-10-23T20:03:00,2025-10-23T20:17:00,2025-10-23T20:41:00,20,3,0,0,1,1,14,24,38,26,7,54,0.127,2
600011,Royapuram,North Chennai,13.109092,80.290136,2025-08-09T23:29:00,2025-08-09T23:44:00,2025-08-10T00:01:00,23,5,1,1,0,0,15,17,32,50,9,44,0.2,2
600003,Park Town,Central Chennai,13.075519,80.283546,2025-10-04T23:12:00,2025-10-04T23:19:00,2025-10-04T23:33:00,23,5,1,1,0,0,7,14,21,34,11,35,0.306,2
600028,Nungambakkam,Central Chennai,13.055437,80.241302,2025-10-28T22:07:00,2025-10-28T22:19:00,2025-10-28T22:34:00,22,1,0,1,1,0,12,15,27,29,6,25,0.231,1
600028,Nungambakkam,Central Chennai,13.059577,80.242887,2025-10-21T16:32:00,2025-10-21T16:48:00,2025-10-21T16:58:00,16,1,0,0,0,0,16,10,26,70,4,26,0.148,1
600041,Adyar,South Chennai,13.008676,80.254573,2025-07-08T00:36:00,2025-07-08T00:43:00,2025-07-08T00:50:00,0,1,0,1,0,0,7,7,14,34,3,16,0.176,1
600023,Vyasarpadi,North Chennai,13.113046,80.249575,2025-11-20T08:35:00,2025-11-20T09:15:00,2025-11-20T09:45:00,8,3,0,0,0,1,40,30,70,32,6,42,0.14,2
600113,Sholinganallur,IT Corridor,12.901352,80.2278,2025-08-11T09:48:00,2025-08-11T09:57:00,2025-08-11T10:10:00,9,0,0,0,0,1,9,13,22,20,1,24,0.04,0
600021,Kodungaiyur,North Chennai,13.133726,80.257857,2025-09-23T14:52:00,2025-09-23T15:05:00,2025-09-23T15:25:00,14,1,0,0,0,0,13,20,33,44,6,44,0.133,2
600113,Sholinganallur,IT Corridor,12.899993,80.22418,2025-11-24T10:21:00,2025-11-24T10:23:00,2025-11-24T10:38:00,10,0,0,0,0,1,2,15,17,41,3,19,0.15,0
600023,Vyasarpadi,North Chennai,13.107809,80.237795,2025-10-22T05:50:00,2025-10-22T05:56:00,2025-10-22T06:21:00,5,2,0,1,0,0,6,25,31,45,5,33,0.147,2
600020,Anna Nagar,West Chennai,13.083426,80.211568,2025-08-04T02:23:00,2025-08-04T02:32:00,2025-08-04T02:41:00,2,0,0,1,0,0,9,9,18,52,7,17,0.389,1
600024,Ashok Nagar,West Chennai,13.037382,80.211586,2025-08-24T22:18:00,2025-08-24T22:23:00,2025-08-24T22:38:00,22,6,1,1,1,0,5,15,20,55,1,33,0.029,1
600028,Nungambakkam,Central Chennai,13.056787,80.24591,2025-10-15T11:34:00,2025-10-15T11:47:00,2025-10-15T11:55:00,11,2,0,0,0,0,13,8,21,41,5,29,0.167,1
600042,Thiruvanmiyur,South Chennai,12.983754,80.259062,2025-10-06T20:41:00,2025-10-06T20:45:00,2025-10-06T20:53:00,20,0,0,0,1,1,4,8,12,54,2,16,0.118,0
600023,Vyasarpadi,North Chennai,13.105197,80.250243,2025-09-30T11:42:00,2025-09-30T11:47:00,2025-09-30T12:03:00,11,1,0,0,0,0,5,16,21,35,8,36,0.216,2
600001,Parrys Corner,George Town,13.08834,80.277495,2025-09-17T20:25:00,2025-09-17T20:31:00,2025-09-17T20:51:00,20,2,0,0,1,1,6,20,26,35,2,64,0.031,2
600003,Park Town,Central Chennai,13.074142,80.284021,2025-09-09T22:48:00,2025-09-09T23:09:00,2025-09-09T23:33:00,22,1,0,1,1,0,21,24,45,43,7,35,0.194,2
600113,Sholinganallur,IT Corridor,12.900681,80.229545,2025-06-14T14:52:00,2025-06-14T14:59:00,2025-06-14T15:08:00,14,5,1,0,0,0,7,9,16,31,4,25,0.154,0
600023,Vyasarpadi,North Chennai,13.112103,80.249349,2025-09-16T09:28:00,2025-09-16T09:54:00,2025-09-16T10:18:00,9,1,0,0,0,1,26,24,50,46,7,39,0.175,2
600018,Kodambakkam,West Chennai,13.051673,80.224596,2025-09-29T06:19:00,2025-09-29T06:25:00,2025-09-29T06:41:00,6,0,0,0,0,0,6,16,22,22,1,26,0.037,1
600007,Perambur,North Chennai,13.110932,80.238947,2025-07-07T05:38:00,2025-07-07T06:06:00,2025-07-07T06:31:00,5,0,0,1,0,0,28,25,53,52,3,41,0.071,2
600119,Besant Nagar,South Chennai,13.00089,80.2622,2025-09-28T05:04:00,2025-09-28T05:09:00,2025-09-28T05:18:00,5,6,1,1,0,0,5,9,14,54,2,12,0.154,0
600006,Triplicane,Central Chennai,13.055062,80.276737,2025-08-12T04:33:00,2025-08-12T04:45:00,2025-08-12T05:04:00,4,1,0,1,0,0,12,19,31,23,5,33,0.147,2
600006,Triplicane,Central Chennai,13.059622,80.278008,2025-07-07T22:27:00,2025-07-07T22:33:00,2025-07-07T22:53:00,22,0,0,1,1,0,6,20,26,32,12,23,0.5,2
600028,Nungambakkam,Central Chennai,13.057473,80.242739,2025-11-06T19:13:00,2025-11-06T19:27:00,2025-11-06T19:41:00,19,3,0,0,1,1,14,14,28,46,4,29,0.133,1
600021,Kodungaiyur,North Chennai,13.130623,80.255032,2025-06-17T11:00:00,2025-06-17T11:26:00,2025-06-17T11:51:00,11,1,0,0,0,0,26,25,51,35,2,36,0.054,2
600119,Besant Nagar,South Chennai,12.998972,80.269331,2025-09-07T12:40:00,2025-09-07T12:47:00,2025-09-07T12:54:00,12,6,1,0,0,0,7,7,14,39,2,15,0.125,0
600023,Vyasarpadi,North Chennai,13.11299,80.245712,2025-08-23T20:04:00,2025-08-23T20:11:00,2025-08-23T20:35:00,20,5,1,0,1,1,7,24,31,27,4,33,0.118,2
600006,Triplicane,Central Chennai,13.061814,80.282403,2025-10-09T11:52:00,2025-10-09T11:56:00,2025-10-09T12:06:00,11,3,0,0,0,0,4,10,14,18,4,29,0.133,1
600023,Vyasarpadi,North Chennai,13.11232,80.251038,2025-09-03T14:32:00,2025-09-03T15:14:00,2025-09-03T15:39:00,14,2,0,0,0,0,42,25,67,23,4,38,0.103,2
600003,Park Town,Central Chennai,13.080858,80.286358,2025-11-05T23:25:00,2025-11-05T23:51:00,2025-11-06T00:08:00,23,2,0,1,0,0,26,17,43,36,3,43,0.068,2
600090,Velachery,South Chennai,12.982068,80.220417,2025-11-25T19:46:00,2025-11-25T19:53:00,2025-11-25T20:06:00,19,1,0,0,1,1,7,13,20,27,5,21,0.227,0
600090,Velachery,South Chennai,12.977118,80.210908,2025-07-23T22:31:00,2025-07-23T22:34:00,2025-07-23T22:43:00,22,2,0,1,1,0,3,9,12,17,3,33,0.088,1
600090,Velachery,South Chennai,12.978457,80.225739,2025-07-07T03:27:00,2025-07-07T03:31:00,2025-07-07T03:42:00,3,0,0,1,0,0,4,11,15,46,5,23,0.208,1
600024,Ashok Nagar,West Chennai,13.035723,80.214318,2025-09-07T03:47:00,2025-09-07T03:58:00,2025-09-07T04:10:00,3,6,1,1,0,0,11,12,23,39,4,29,0.133,1
600028,Nungambakkam,Central Chennai,13.051144,80.240627,2025-11-11T14:30:00,2025-11-11T14:42:00,2025-11-11T14:55:00,14,1,0,0,0,0,12,13,25,36,4,28,0.138,1
600006,Triplicane,Central Chennai,13.056123,80.277311,2025-07-19T11:55:00,2025-07-19T12:11:00,2025-07-19T12:26:00,11,5,1,0,0,0,16,15,31,38,2,29,0.067,1
600021,Kodungaiyur,North Chennai,13.132503,80.2551,2025-11-26T21:19:00,2025-11-26T21:47:00,2025-11-26T22:13:00,21,2,0,0,1,0,28,26,54,39,3,57,0.052,2
600007,Perambur,North Chennai,13.113991,80.23772,2025-08-24T23:28:00,2025-08-25T00:04:00,2025-08-25T00:26:00,23,6,1,1,0,0,36,22,58,41,6,46,0.128,2
600020,Anna Nagar,West Chennai,13.084214,80.208577,2025-08-02T08:24:00,2025-08-02T08:41:00,2025-08-02T08:55:00,8,5,1,0,0,1,17,14,31,78,6,27,0.214,1
600018,Kodambakkam,West Chennai,13.051825,80.224303,2025-10-21T00:48:00,2025-10-21T01:06:00,2025-10-21T01:22:00,0,1,0,1,0,0,18,16,34,58,7,28,0.241,2
600004,Mylapore,Central Chennai,13.037856,80.262161,2025-07-13T05:45:00,2025-07-13T06:04:00,2025-07-13T06:18:00,5,6,1,1,0,0,19,14,33,21,4,27,0.143,1
600011,Royapuram,North Chennai,13.107649,80.289501,2025-06-27T13:15:00,2025-06-27T13:55:00,2025-06-27T14:15:00,13,4,0,0,0,0,40,20,60,24,7,41,0.167,2
600018,Kodambakkam,West Chennai,13.048522,80.226433,2025-10-01T22:21:00,2025-10-01T22:31:00,2025-10-01T22:50:00,22,2,0,1,1,0,10,19,29,34,7,27,0.25,2
600011,Royapuram,North Chennai,13.109592,80.296332,2025-09-16T00:21:00,2025-09-16T01:02:00,2025-09-16T01:26:00,0,1,0,1,0,0,41,24,65,33,9,30,0.29,2
600017,T. Nagar,Central Chennai,13.037155,80.231056,2025-11-14T03:39:00,2025-11-14T03:45:00,2025-11-14T04:02:00,3,4,0,1,0,0,6,17,23,33,4,32,0.121,2
600011,Royapuram,North Chennai,13.100847,80.287813,2025-07-28T21:01:00,2025-07-28T21:28:00,2025-07-28T21:45:00,21,0,0,0,1,0,27,17,44,20,5,37,0.132,2
600041,Adyar,South Chennai,13.010339,80.257725,2025-10-22T12:22:00,2025-10-22T12:25:00,2025-10-22T12:31:00,12,2,0,0,0,0,3,6,9,50,3,8,0.333,0
600011,Royapuram,North Chennai,13.105048,80.29214,2025-08-05T21:26:00,2025-08-05T21:39:00,2025-08-05T21:57:00,21,1,0,0,1,0,13,18,31,70,9,46,0.191,2
600021,Kodungaiyur,North Chennai,13.132385,80.253873,2025-08-12T22:01:00,2025-08-12T22:32:00,2025-08-12T23:04:00,22,1,0,1,1,0,31,32,63,26,8,44,0.178,2
600003,Park Town,Central Chennai,13.080277,80.283323,2025-06-12T18:30:00,2025-06-12T18:48:00,2025-06-12T19:13:00,18,3,0,0,1,1,18,25,43,63,3,37,0.079,2
600003,Park Town,Central Chennai,13.073497,80.287437,2025-09-23T23:59:00,2025-09-24T00:36:00,2025-09-24T00:55:00,23,1,0,1,0,0,37,19,56,50,7,59,0.117,2
600003,Park Town,Central Chennai,13.079473,80.281119,2025-10-27T22:20:00,2025-10-27T22:34:00,2025-10-27T22:55:00,22,0,0,1,1,0,14,21,35,19,4,37,0.105,2
600003,Park Town,Central Chennai,13.081136,80.285663,2025-07-04T23:17:00,2025-07-05T00:01:00,2025-07-05T00:24:00,23,4,0,1,0,0,44,23,67,81,6,52,0.113,2
600018,Kodambakkam,West Chennai,13.051796,80.22274,2025-07-04T21:07:00,2025-07-04T21:25:00,2025-07-04T21:40:00,21,4,0,0,1,0,18,15,33,29,1,32,0.03,1
600041,Adyar,South Chennai,13.002659,80.254385,2025-10-30T16:04:00,2025-10-30T16:08:00,2025-10-30T16:16:00,16,3,0,0,0,0,4,8,12,63,2,20,0.095,0
600023,Vyasarpadi,North Chennai,13.106916,80.245859,2025-09-19T23:16:00,2025-09-19T23:51:00,2025-09-20T00:19:00,23,4,0,1,0,0,35,28,63,62,8,53,0.148,2
600023,Vyasarpadi,North Chennai,13.109362,80.254629,2025-07-29T07:21:00,2025-07-29T07:55:00,2025-07-29T08:20:00,7,1,0,0,0,0,34,25,59,15,7,37,0.184,2
600011,Royapuram,North Chennai,13.103112,80.289581,2025-08-31T21:01:00,2025-08-31T21:34:00,2025-08-31T21:54:00,21,6,1,0,1,0,33,20,53,35,8,35,0.222,2
600127,Perungudi,IT Corridor,12.96611,80.243984,2025-09-12T02:31:00,2025-09-12T02:33:00,2025-09-12T02:42:00,2,4,0,1,0,0,2,9,11,53,1,23,0.042,1
600028,Nungambakkam,Central Chennai,13.056582,80.246266,2025-06-14T20:56:00,2025-06-14T21:08:00,2025-06-14T21:24:00,20,5,1,0,1,1,12,16,28,29,6,28,0.207,1
600041,Adyar,South Chennai,13.005007,80.257854,2025-06-20T16:54:00,2025-06-20T17:01:00,2025-06-20T17:08:00,16,4,0,0,0,0,7,7,14,44,1,14,0.067,0
600003,Park Town,Central Chennai,13.078345,80.28862,2025-10-30T21:57:00,2025-10-30T22:39:00,2025-10-30T22:52:00,21,3,0,0,1,0,42,13,55,41,5,45,0.109,2
600007,Perambur,North Chennai,13.115211,80.23367,2025-10-21T16:38:00,2025-10-21T16:51:00,2025-10-21T17:18:00,16,1,0,0,0,0,13,27,40,47,8,42,0.186,2
600023,Vyasarpadi,North Chennai,13.114484,80.247129,2025-06-05T19:38:00,2025-06-05T20:21:00,2025-06-05T20:48:00,19,3,0,0,1,1,43,27,70,20,4,37,0.105,2
600011,Royapuram,North Chennai,13.105122,80.289658,2025-06-14T23:15:00,2025-06-14T23:50:00,2025-06-15T00:11:00,23,5,1,1,0,0,35,21,56,42,5,49,0.1,2
600042,Thiruvanmiyur,South Chennai,12.986583,80.257337,2025-09-28T13:56:00,2025-09-28T14:01:00,2025-09-28T14:09:00,13,6,1,0,0,0,5,8,13,29,3,18,0.158,0
600003,Park Town,Central Chennai,13.078629,80.283599,2025-08-25T18:33:00,2025-08-25T19:05:00,2025-08-25T19:29:00,18,0,0,0,1,1,32,24,56,26,9,42,0.209,2
600004,Mylapore,Central Chennai,13.029562,80.262185,2025-08-02T06:20:00,2025-08-02T06:25:00,2025-08-02T06:37:00,6,5,1,0,0,0,5,12,17,19,3,17,0.167,1
600113,Sholinganallur,IT Corridor,12.903915,80.229016,2025-09-05T09:51:00,2025-09-05T09:54:00,2025-09-05T10:05:00,9,4,0,0,0,1,3,11,14,69,2,23,0.083,0
600018,Kodambakkam,West Chennai,13.053154,80.222461,2025-07-25T14:47:00,2025-07-25T15:02:00,2025-07-25T15:16:00,14,4,0,0,0,0,15,14,29,31,4,26,0.148,1
600042,Thiruvanmiyur,South Chennai,12.981622,80.264527,2025-09-09T03:29:00,2025-09-09T03:35:00,2025-09-09T03:44:00,3,1,0,1,0,0,6,9,15,15,2,15,0.125,0
600096,OMR,IT Corridor,12.946024,80.230752,2025-10-04T04:34:00,2025-10-04T04:43:00,2025-10-04T04:55:00,4,5,1,1,0,0,9,12,21,35,2,24,0.08,1
600011,Royapuram,North Chennai,13.111546,80.288733,2025-11-03T04:34:00,2025-11-03T05:12:00,2025-11-03T05:32:00,4,0,0,1,0,0,38,20,58,61,4,36,0.108,2
600020,Anna Nagar,West Chennai,13.088086,80.20615,2025-10-26T20:03:00,2025-10-26T20:19:00,2025-10-26T20:30:00,20,6,1,0,1,1,16,11,27,61,4,19,0.2,1
600023,Vyasarpadi,North Chennai,13.108367,80.248451,2025-10-20T08:18:00,2025-10-20T08:52:00,2025-10-20T09:23:00,8,0,0,0,0,1,34,31,65,50,12,29,0.4,2
600001,Parrys Corner,George Town,13.089767,80.283083,2025-11-08T16:52:00,2025-11-08T17:31:00,2025-11-08T17:47:00,16,5,1,0,0,0,39,16,55,32,10,40,0.244,2
600004,Mylapore,Central Chennai,13.032346,80.262623,2025-10-15T16:33:00,2025-10-15T16:35:00,2025-10-15T16:43:00,16,2,0,0,0,0,2,8,10,20,2,38,0.051,1
600041,Adyar,South Chennai,13.008882,80.255277,2025-11-26T03:54:00,2025-11-26T04:01:00,2025-11-26T04:08:00,3,2,0,1,0,0,7,7,14,36,4,22,0.174,1
600004,Mylapore,Central Chennai,13.031217,80.259892,2025-09-01T02:39:00,2025-09-01T02:54:00,2025-09-01T03:07:00,2,0,0,1,0,0,15,13,28,20,1,24,0.04,1
600017,T. Nagar,Central Chennai,13.041449,80.232374,2025-08-01T21:40:00,2025-08-01T21:50:00,2025-08-01T22:04:00,21,4,0,0,1,0,10,14,24,19,4,29,0.133,1
600096,OMR,IT Corridor,12.941035,80.227856,2025-09-17T11:47:00,2025-09-17T11:48:00,2025-09-17T11:58:00,11,2,0,0,0,0,1,10,11,42,2,17,0.111,0
600001,Parrys Corner,George Town,13.084529,80.282733,2025-09-30T20:38:00,2025-09-30T20:44:00,2025-09-30T21:12:00,20,1,0,0,1,1,6,28,34,83,7,41,0.167,2
600017,T. Nagar,Central Chennai,13.036961,80.239426,2025-09-09T18:30:00,2025-09-09T18:37:00,2025-09-09T18:55:00,18,1,0,0,1,1,7,18,25,53,8,33,0.235,1
600020,Anna Nagar,West Chennai,13.085683,80.203752,2025-11-14T04:06:00,2025-11-14T04:11:00,2025-11-14T04:19:00,4,4,0,1,0,0,5,8,13,16,4,24,0.16,1
600003,Park Town,Central Chennai,13.076791,80.284371,2025-08-08T23:58:00,2025-08-09T00:05:00,2025-08-09T00:29:00,23,4,0,1,0,0,7,24,31,20,8,40,0.195,2
600021,Kodungaiyur,North Chennai,13.131,80.25696,2025-08-07T18:33:00,2025-08-07T18:59:00,2025-08-07T19:26:00,18,3,0,0,1,1,26,27,53,37,7,51,0.135,2
600041,Adyar,South Chennai,13.003011,80.25879,2025-09-07T17:39:00,2025-09-07T17:45:00,2025-09-07T17:55:00,17,6,1,0,0,1,6,10,16,49,2,17,0.111,0
600004,Mylapore,Central Chennai,13.035765,80.260791,2025-10-27T06:27:00,2025-10-27T06:33:00,2025-10-27T06:45:00,6,0,0,0,0,0,6,12,18,41,3,27,0.107,1
600017,T. Nagar,Central Chennai,13.03858,80.236965,2025-10-29T10:56:00,2025-10-29T11:15:00,2025-10-29T11:32:00,10,2,0,0,0,1,19,17,36,59,3,33,0.088,1
600011,Royapuram,North Chennai,13.113419,80.29108,2025-08-02T18:46:00,2025-08-02T19:21:00,2025-08-02T19:48:00,18,5,1,0,1,1,35,27,62,40,7,25,0.269,2
600018,Kodambakkam,West Chennai,13.052754,80.22821,2025-10-21T22:59:00,2025-10-21T23:09:00,2025-10-21T23:28:00,22,1,0,1,1,0,10,19,29,22,2,29,0.067,2
600017,T. Nagar,Central Chennai,13.038904,80.231649,2025-07-04T20:58:00,2025-07-04T21:05:00,2025-07-04T21:19:00,20,4,0,0,1,1,7,14,21,24,3,29,0.1,1
600021,Kodungaiyur,North Chennai,13.136382,80.249974,2025-07-23T19:52:00,2025-07-23T20:09:00,2025-07-23T20:42:00,19,2,0,0,1,1,17,33,50,54,7,35,0.194,2
600024,Ashok Nagar,West Chennai,13.032907,80.213608,2025-06-12T13:33:00,2025-06-12T13:52:00,2025-06-12T14:06:00,13,3,0,0,0,0,19,14,33,15,3,23,0.125,1
600021,Kodungaiyur,North Chennai,13.133088,80.254481,2025-10-17T00:26:00,2025-10-17T01:04:00,2025-10-17T01:30:00,0,4,0,1,0,0,38,26,64,80,6,36,0.162,2
600096,OMR,IT Corridor,12.947323,80.228469,2025-09-09T00:23:00,2025-09-09T00:24:00,2025-09-09T00:35:00,0,1,0,1,0,0,1,11,12,34,3,20,0.143,1
600001,Parrys Corner,George Town,13.090917,80.278273,2025-06-13T07:15:00,2025-06-13T07:28:00,2025-06-13T07:49:00,7,4,0,0,0,0,13,21,34,15,7,46,0.149,2
600001,Parrys Corner,George Town,13.088695,80.276595,2025-06-13T21:53:00,2025-06-13T22:07:00,2025-06-13T22:27:00,21,4,0,0,1,0,14,20,34,19,5,44,0.111,2
600006,Triplicane,Central Chennai,13.056187,80.278477,2025-08-04T15:46:00,2025-08-04T16:04:00,2025-08-04T16:17:00,15,0,0,0,0,0,18,13,31,31,1,27,0.036,1
600127,Perungudi,IT Corridor,12.96043,80.24727,2025-09-19T18:08:00,2025-09-19T18:16:00,2025-09-19T18:30:00,18,4,0,0,1,1,8,14,22,52,3,21,0.136,0
600127,Perungudi,IT Corridor,12.95732,80.240951,2025-09-27T04:55:00,2025-09-27T04:59:00,2025-09-27T05:11:00,4,5,1,1,0,0,4,12,16,21,4,17,0.222,1
600006,Triplicane,Central Chennai,13.052187,80.277853,2025-11-06T17:25:00,2025-11-06T17:43:00,2025-11-06T18:04:00,17,3,0,0,0,1,18,21,39,25,3,26,0.111,1
600004,Mylapore,Central Chennai,13.035244,80.263013,2025-07-16T02:29:00,2025-07-16T02:36:00,2025-07-16T02:48:00,2,2,0,1,0,0,7,12,19,68,7,22,0.304,1
600113,Sholinganallur,IT Corridor,12.900523,80.228705,2025-09-06T16:42:00,2025-09-06T16:47:00,2025-09-06T17:00:00,16,5,1,0,0,0,5,13,18,24,8,20,0.381,0
600001,Parrys Corner,George Town,13.085266,80.276046,2025-11-17T21:54:00,2025-11-17T22:06:00,2025-11-17T22:29:00,21,0,0,0,1,0,12,23,35,17,7,60,0.115,2
600021,Kodungaiyur,North Chennai,13.13017,80.252107,2025-06-18T10:26:00,2025-06-18T10:48:00,2025-06-18T11:22:00,10,2,0,0,0,1,22,34,56,54,7,43,0.159,2
600090,Velachery,South Chennai,12.975033,80.219665,2025-09-17T06:46:00,2025-09-17T06:53:00,2025-09-17T07:05:00,6,2,0,0,0,0,7,12,19,34,2,22,0.087,0
600018,Kodambakkam,West Chennai,13.05301,80.226213,2025-08-07T20:36:00,2025-08-07T20:38:00,2025-08-07T20:55:00,20,3,0,0,1,1,2,17,19,18,4,21,0.182,1
600001,Parrys Corner,George Town,13.084538,80.275243,2025-07-24T20:09:00,2025-07-24T20:53:00,2025-07-24T21:14:00,20,3,0,0,1,1,44,21,65,68,9,42,0.209,2
600041,Adyar,South Chennai,13.011917,80.260237,2025-07-09T15:55:00,2025-07-09T16:01:00,2025-07-09T16:08:00,15,2,0,0,0,0,6,7,13,54,2,13,0.143,0
600021,Kodungaiyur,North Chennai,13.128683,80.253357,2025-10-31T20:37:00,2025-10-31T20:42:00,2025-10-31T21:17:00,20,4,0,0,1,1,5,35,40,30,10,45,0.217,2
600006,Triplicane,Central Chennai,13.052346,80.276829,2025-06-15T03:17:00,2025-06-15T03:35:00,2025-06-15T03:46:00,3,6,1,1,0,0,18,11,29,30,3,42,0.07,1
